not enough args for isData
19-Oct-2021 12:05:38 CDT  Initiating request to open file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
19-Oct-2021 12:05:39 CDT  Successfully opened file file:B2G-RunIIAutumn18DRPremix-GEN-SIM-RECO.root
Begin processing the 53rd record. Run 1, Event 55, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.604 CDT
Begin processing the 54th record. Run 1, Event 54, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.629 CDT
Begin processing the 55th record. Run 1, Event 59, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.660 CDT
Begin processing the 56th record. Run 1, Event 58, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.686 CDT
Begin processing the 57th record. Run 1, Event 53, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.715 CDT
Begin processing the 58th record. Run 1, Event 56, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.765 CDT
Begin processing the 59th record. Run 1, Event 60, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.800 CDT
Begin processing the 60th record. Run 1, Event 57, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.826 CDT
Begin processing the 61st record. Run 1, Event 64, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.843 CDT
Begin processing the 62nd record. Run 1, Event 63, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.867 CDT
Begin processing the 63rd record. Run 1, Event 61, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.890 CDT
Begin processing the 64th record. Run 1, Event 65, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.919 CDT
Begin processing the 65th record. Run 1, Event 66, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.947 CDT
Begin processing the 66th record. Run 1, Event 67, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:43.984 CDT
Begin processing the 67th record. Run 1, Event 70, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:44.006 CDT
Begin processing the 68th record. Run 1, Event 69, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:44.024 CDT
Begin processing the 69th record. Run 1, Event 72, LumiSection 1 on stream 0 at 19-Oct-2021 12:06:44.042 CDT
============== EVENT 72 ====================
-----------------------------------------
----------- MC INFORMATION --------------
*** Quark with (eta,phi,pt) = 23096.5,	0,	0
    HCAL (ieta,iphi) = 265478,	0.5
    ECAL (ieta,iphi) = 1.3198e+06,	10.5
*** Quark with (eta,phi,pt) = -23024.1,	0,	0
    HCAL (ieta,iphi) = -264645,	0.5
    ECAL (ieta,iphi) = -1.31566e+06,	10.5
*** Quark with (eta,phi,pt) = -23024.1,	0,	0
    HCAL (ieta,iphi) = -264645,	0.5
    ECAL (ieta,iphi) = -1.31566e+06,	10.5
*** Quark with (eta,phi,pt) = 0.675999,	1.35371,	89.9363
    HCAL (ieta,iphi) = 8.2701,	16.0598
    ECAL (ieta,iphi) = 39.1285,	87.8546
*** Quark with (eta,phi,pt) = -38.1649,	-3.04812,	1.42732e-14
    HCAL (ieta,iphi) = -439.177,	-34.5358
    ECAL (ieta,iphi) = -2181.35,	-163.678
*** Quark with (eta,phi,pt) = 0.75446,	1.53716,	86.8665
    HCAL (ieta,iphi) = 9.17196,	18.1685
    ECAL (ieta,iphi) = 43.612,	98.3378
*** Quark with (eta,phi,pt) = -35.115,	2.10937,	3.71436e-13
    HCAL (ieta,iphi) = -404.121,	24.7456
    ECAL (ieta,iphi) = -2007.07,	131.035
*** Quark with (eta,phi,pt) = 0.760491,	1.54137,	87.4383
    HCAL (ieta,iphi) = 9.24127,	18.2169
    ECAL (ieta,iphi) = 43.9566,	98.5785
*** Quark with (eta,phi,pt) = 0.760491,	1.54137,	86.539
    HCAL (ieta,iphi) = 9.24127,	18.2169
    ECAL (ieta,iphi) = 43.9566,	98.5785
*** Quark with (eta,phi,pt) = -35.609,	-0.956843,	9.01895e-14
    HCAL (ieta,iphi) = -409.799,	-10.4982
    ECAL (ieta,iphi) = -2035.3,	-44.1768
*** Quark with (eta,phi,pt) = -4.14985,	2.20069,	2.96671
    HCAL (ieta,iphi) = -48.1994,	25.7953
    ECAL (ieta,iphi) = -237.634,	136.254
*** Quark with (eta,phi,pt) = -4.16184,	-1.68521,	1.28879
    HCAL (ieta,iphi) = -48.3372,	-18.8702
    ECAL (ieta,iphi) = -238.319,	-85.7976
*** Quark with (eta,phi,pt) = -41.5042,	-2.67795,	2.48253e-16
    HCAL (ieta,iphi) = -477.56,	-30.281
    ECAL (ieta,iphi) = -2372.17,	-142.525
*** Quark with (eta,phi,pt) = -4.15681,	-1.68531,	1.28885
    HCAL (ieta,iphi) = -48.2794,	-18.8713
    ECAL (ieta,iphi) = -238.032,	-85.8033
*** Quark with (eta,phi,pt) = 0.760491,	1.54137,	85.6233
    HCAL (ieta,iphi) = 9.24128,	18.2169
    ECAL (ieta,iphi) = 43.9566,	98.5785
*** Quark with (eta,phi,pt) = 0.775524,	1.52394,	77.3007
    HCAL (ieta,iphi) = 9.41407,	18.0165
    ECAL (ieta,iphi) = 44.8157,	97.582
*** Quark with (eta,phi,pt) = -34.512,	2.02598,	7.10006e-13
    HCAL (ieta,iphi) = -397.19,	23.7872
    ECAL (ieta,iphi) = -1972.61,	126.27
*** Quark with (eta,phi,pt) = 2.16513,	1.09096,	4.04933
    HCAL (ieta,iphi) = 25.3866,	13.0397
    ECAL (ieta,iphi) = 124.222,	72.8404
*** Quark with (eta,phi,pt) = 1.53294,	0.189893,	2.57919
    HCAL (ieta,iphi) = 18.1199,	2.68267
    ECAL (ieta,iphi) = 88.0963,	21.351
*** Quark with (eta,phi,pt) = -36.2794,	3.14159,	2.66454e-15
    HCAL (ieta,iphi) = -417.505,	36.6103
    ECAL (ieta,iphi) = -2073.61,	190.02
*** Quark with (eta,phi,pt) = -2.08112,	0.798849,	1.7152
    HCAL (ieta,iphi) = -24.4209,	9.68217
    ECAL (ieta,iphi) = -119.421,	56.1485
